"";"UserId";"StoryId";"ReadingSessionNumber";"ReadingBlockNumber";"Condition";"ReadingSpeedDifference";"AbsReadingSpeedDifference";"RelativeSpeedDifference";"AbsRelativeSpeedDifference";"ReadingRate";"EngagedSpeedLabel";"StartLocation";"EndLocation";"FirstTimeUntilDeadlineDays";"FirstCumulativeRSTime";"WindowWidth"
"31";"7";"2";"2";"6";"NonAutonomousCondition";-22,773992522162;22,773992522162;-0,0803058187434893;0,0803058187434893;0,919694181256511;"DeepReading";0;1657;13,6065935861481;1,66691666666667;1440
"32";"7";"2";"2";"7";"NonAutonomousCondition";312,28934451506;312,28934451506;1,10119696718723;1,10119696718723;2,10119696718723;"DeepReading";1657;3631;13,6056776602222;2,36875;1440
"33";"7";"2";"2";"10";"NonAutonomousCondition";-45,339104133949;45,339104133949;-0,159875080095418;0,159875080095418;0,840124919904582;"DeepReading";3631;5520;13,6048117111481;4,71435;1440
"34";"7";"2";"2";"11";"NonAutonomousCondition";-118,603527257736;118,603527257736;-0,418220623943283;0,418220623943283;0,581779376056717;"DeepReading";5520;7521;13,6035612829074;7,369;1440
"35";"7";"2";"2";"12";"NonAutonomousCondition";108,191751025101;108,191751025101;0,381506542557593;0,381506542557593;1,38150654255759;"DeepReading";7521;9396;13,6017177065185;7,49968333333333;1440
"36";"7";"2";"2";"13";"NonAutonomousCondition";18,555832327315;18,555832327315;0,0654317114604234;0,0654317114604234;1,06543171146042;"DeepReading";9396;11362;13,600920588463;9,93976666666667;1440
"37";"7";"2";"2";"16";"NonAutonomousCondition";27,839427099575;27,839427099575;0,0981675911417582;0,0981675911417582;1,09816759114176;"DeepReading";11362;13011;13,5998123477222;11,3111;1440
"38";"7";"2";"2";"19";"NonAutonomousCondition";209,304390066635;209,304390066635;0,738050668742036;0,738050668742036;1,73805066874204;"DeepReading";13011;14457;13,5989003569815;12,0272166666667;1440
"39";"7";"2";"2";"22";"NonAutonomousCondition";239,627811875141;239,627811875141;0,844977340166318;0,844977340166318;1,84497734016632;"DeepReading";14457;16410;13,5977701255;13,8362333333333;1440
"40";"7";"2";"2";"25";"NonAutonomousCondition";39,168264267126;39,168264267126;0,138115419493179;0,138115419493179;1,13811541949318;"DeepReading";16410;18292;13,597078725037;15,2552;1440
"41";"7";"2";"2";"26";"NonAutonomousCondition";163,230132700474;163,230132700474;0,575583285950582;0,575583285950582;1,57558328595058;"DeepReading";18292;19953;13,5962417574444;16,0245666666667;1440
