"";"UserId";"ReadingSessionNumber";"SessionLength";"DisengagementDuration";"DialogDuration";"DisruptedEngagementDuration";"EngagementProportion";"DisengagementProportion";"DialogAndDisengagementProportion";"PotentialReadingSessionArtefact"
"48";"31";1;46,9282666666667;3,10766666666667;0,917;0;0,91423790068246;0,066221637563146;0,08576209931754;FALSE
"49";"32";1;13,5062666666667;0,0189333333333333;0,2682;0;0,978740732696921;0,00140181841515543;0,0212592673030791;FALSE
"50";"34";1;155,03285;148,9498;0,396066666666667;0,0347333333333333;0,036458402203146;0,960762831877244;0,963317559257065;TRUE
"51";"34";2;82,7611;61,82785;0;0,167866666666667;0,250907531839636;0,747064140036805;0,747064140036805;FALSE
"52";"34";3;0;0;0;0;NA;NA;NA;TRUE
"53";"34";4;44,7116;1,3904;0;0,09865;0,966696561966022;0,031097075479294;0,031097075479294;FALSE
"54";"35";1;131,16155;3,50988333333333;1,35971666666667;0;0,962873265831335;0,0267600019467087;0,0371267341686645;FALSE
"55";"36";1;29,2998166666667;0,0102666666666667;0,51235;0;0,982163142090195;0,000350400372243512;0,0178368579098049;FALSE
"56";"37";1;34,5608833333333;0,00801666666666667;0,305416666666667;0;0,990930980255616;0,000231957805862408;0,00906901974438346;FALSE
"57";"38";1;123,96155;18,2562666666667;0,742916666666667;0,1521;0,84550626114845;0,147273623689496;0,153266745481428;FALSE
"58";"39";1;67,3138;11,9121666666667;0,664116666666667;0,1309;0,811224691915576;0,176964703621942;0,186830684545121;FALSE
"59";"40";1;105,582466666667;19,8466333333333;0,29685;0;0,809215639970525;0,187972813667926;0,190784360029475;FALSE
"60";"41";1;44,9408833333333;1,00225;1,50443333333333;0,50785;0,932922250081867;0,0223015198113967;0,0557773489840171;FALSE
"61";"42";1;81,8704;39,0956833333333;15,5197166666667;0,0124666666666667;0,332751926622239;0,477531358504824;0,667095800191522;FALSE
"62";"43";1;8,20478333333333;0,1811;1,23805;0;0,827033823765405;0,0220724902343552;0,172966176234595;FALSE
"63";"43";2;29,4159833333333;0,348233333333333;0;0,112;0,984354310780024;0,0118382353357783;0,0118382353357783;FALSE
"64";"44";1;1,97598333333333;0,0137166666666667;1,96226666666667;0;0;0,00694169147850437;1;TRUE
"65";"44";2;1,6351;1,6351;0;0;0;1;1;TRUE
"66";"44";3;0,483566666666667;0,0134166666666667;0,0427333333333333;0;0,883883642379541;0,0277452264424071;0,116116357620459;TRUE
