"";"UserId";"StoryId";"EngagementTypeId";"Engagement";"ReadingSessionNumber";"Condition";"ContinuousEngagementMinutes";"ContinuousEngagementSeconds";"FirstCumulativeRSTime";"LastCumulativeRSTime";"FirstPercentageLocation";"LastPercentageLocation";"DaysUntilDeadline";"PercentageLocationMoved"
"32";"12";"8";32;"Engagement";"5";"AutonomousCondition";5,12601666666667;307,561;31,1548;36,1262166666667;0,291048399012179;0,361525634801697;13,2119247762847;0,070477235789518
"33";"12";"8";34;"Engagement";"5";"AutonomousCondition";4,48453333333333;269,072;38,8038166666667;40,70975;0,425712898663909;0,425712898663909;13,208264660544;0
"34";"12";"8";36;"Engagement";"5";"AutonomousCondition";1,06796666666667;64,078;41,9464166666667;42,74155;0,425712898663909;0,450703928066361;13,2061506211921;0,024991029402452
"35";"12";"8";38;"Engagement";"5";"AutonomousCondition";18,0597666666667;1083,586;45,6654333333333;60,9303666666667;0,479198767334361;0,741393503176647;13,1932106211921;0,262194735842286
"36";"12";"8";40;"Engagement";"5";"AutonomousCondition";7,32025;439,215;62,9588166666667;68,6544833333333;0,741393503176647;0,830761762036431;13,1889460610069;0,0893682588597841
"37";"12";"8";42;"Engagement";"5";"AutonomousCondition";2,70693333333333;162,416;69,0135166666667;69,0133166666667;0,856744833991177;0,884690883762163;13,1873644985069;0,027946049770986
"38";"12";"8";44;"Engagement";"5";"AutonomousCondition";9,47763333333333;568,658;81,0901333333333;78,73895;0,979568144880427;0,979568144880427;13,1806110957292;0
"39";"12";"8";46;"Engagement";"5";"AutonomousCondition";0,39415;23,649;81,2623833333333;81,6350666666667;0,979568144880427;0;13,1785838966551;-0,979568144880427
"40";"12";"8";48;"Engagement";"5";"AutonomousCondition";0,31005;18,603;81,6603833333333;81,9516833333333;0,0280938007894126;0,979568144880427;13,1783094406366;0,951474344091014
"41";"13";"2";3;"Engagement";"1";"NonAutonomousCondition";2,80506666666667;168,304;3,16258333333333;3,15251666666667;0,0292926971555854;0,0292926971555854;13,9938115285891;0
"42";"13";"2";5;"Engagement";"1";"NonAutonomousCondition";29,9487833333333;1796,927;3,27175;33,2100333333333;0;0,817543797620521;13,9729929059039;0,817543797620521
"43";"13";"2";7;"Engagement";"1";"NonAutonomousCondition";8,80683333333333;528,41;41,9558666666667;42,2014666666667;0,992221613308113;0,992221613308113;13,9668434383113;0
"44";"14";"8";2;"Engagement";"2";"AutonomousCondition";0,709983333333333;42,599;0,354483333333333;0,268516666666667;0;0;13,5284384493553;0
"45";"14";"8";2;"Engagement";"3";"AutonomousCondition";23,7498333333333;1424,99;2,37051666666667;23,79255;0,579669459864491;0,996833906748;10,0413973961146;0,417164446883509
"46";"14";"8";4;"Engagement";"2";"AutonomousCondition";1,41468333333333;84,881;23,3745;24,40475;0,00814741330181312;0,0194187052789328;13,5118161345405;0,0112712919771197
"47";"14";"8";6;"Engagement";"2";"AutonomousCondition";1,02705;61,623;26,3457833333333;26,3;0,0307111045443992;0,0358612829009857;13,5103584493553;0,0051501783565865
"48";"14";"8";8;"Engagement";"2";"AutonomousCondition";3,37821666666667;202,693;29,1596;31,1106833333333;0,0470059311480254;0,111889735525677;13,5070177549109;0,0648838043776516
"49";"14";"8";10;"Engagement";"2";"AutonomousCondition";13,6196166666667;817,177;34,0514166666667;46,6942;0,124258606496823;0,492327500685987;13,4961955674109;0,368068894189164
"50";"14";"8";14;"Engagement";"2";"AutonomousCondition";0,851165253239105;51,0699151943463;49,0574;49,9085485865724;0,510944129007746;0,534457648225932;13,494124641485;0,023513519218186
"51";"15";"5";6;"Engagement";"2";"NonAutonomousCondition";0,490333333333333;29,42;0,64085;0,261316666666667;0;0,0527753054454244;11,2522122530984;0,0527753054454244
"52";"15";"5";10;"Engagement";"2";"NonAutonomousCondition";0,431816666666667;25,909;1,69083333333333;1,69083333333333;0;0;11,2515169521725;0
"53";"15";"5";12;"Engagement";"2";"NonAutonomousCondition";1,10925;66,555;1,7803;2,82418333333333;0;0,0527753054454244;11,250451882728;0,0527753054454244
"54";"15";"5";14;"Engagement";"2";"NonAutonomousCondition";1,21276666666667;72,766;4,07416666666667;4,07416666666667;0,0527753054454244;0,0527753054454244;11,2504041859687;0
"55";"15";"5";18;"Engagement";"2";"NonAutonomousCondition";0,683416666666667;41,005;6,03475;6,27348333333333;0,0527753054454244;0,118334816732745;11,2481952970799;0,0655595112873206
"56";"15";"5";20;"Engagement";"2";"NonAutonomousCondition";5,81361666666667;348,817;9,20983333333333;13,2908333333333;0,118334816732745;0,303685573266446;11,2434072415243;0,185350756533701
"57";"15";"5";22;"Engagement";"2";"NonAutonomousCondition";4,65593333333333;279,356;19,5869666666667;19,7075333333333;0,491746905089409;0,428311352051137;11,2387440933762;-0,063435553038272
"58";"15";"5";24;"Engagement";"2";"NonAutonomousCondition";13,0779833333333;784,679;30,384;30,3116;0,913888664131402;0,854579658548426;11,2323052392095;-0,059309005582976
"59";"16";"4";1;"Engagement";"2";"AutonomousCondition";1,13778333333333;68,267;0,0151333333333333;1,13778333333333;0,330009423831335;0,330009423831335;13,895192586169;0
"60";"16";"4";1;"Engagement";"3";"AutonomousCondition";8,47366666666667;508,42;8,43636666666667;6,05721666666667;0,421464419557737;0,376580683337351;13,8106415329282;-0,044883736220386
"61";"16";"4";1;"Engagement";"4";"AutonomousCondition";31,8112833333333;1908,677;0,02415;15,9179833333333;0,464638716605667;0,671502772359684;13,331113523669;0,206864055754017
"62";"16";"4";3;"Engagement";"1";"AutonomousCondition";22,28865;1337,319;14,2887833333333;24,3142333333333;0,125534199741393;0,330009423831335;13,9397352597801;0,204475224089942
"63";"17";"1";3;"Engagement";"1";"AutonomousCondition";5,22093333333333;313,256;0,7551;0,912983333333333;0,0269990615299468;0,0269990615299468;13,9922997467905;0
"64";"17";"1";5;"Engagement";"1";"AutonomousCondition";9,87268333333333;592,361;7,7958;9,22846666666667;0,0269990615299468;0,0628293668936641;13,9865247815127;0,0358303053637173
"65";"17";"1";9;"Engagement";"1";"AutonomousCondition";2,6681;160,086;41,75905;41,75905;0,364030127295041;0,364030127295041;13,9619086009572;0
"66";"17";"1";11;"Engagement";"1";"AutonomousCondition";3,27491666666667;196,495;46,15445;48,7162;0,364030127295041;0,463267319585148;13,9562373509572;0,099237192290107
"67";"17";"1";13;"Engagement";"1";"AutonomousCondition";0,91275;54,765;51,0755;51,0755;0,463267319585148;0,463267319585148;13,9545335430868;0
"68";"17";"1";15;"Engagement";"1";"AutonomousCondition";1,58971666666667;95,383;52,7093333333333;52,7093333333333;0,463267319585148;0,463267319585148;13,9538690523461;0
"69";"17";"1";17;"Engagement";"1";"AutonomousCondition";0,865166666666667;51,91;53,14785;53,5997333333333;0,463267319585148;0,507640108766273;13,9524544227164;0,044372789181125
"70";"17";"1";25;"Engagement";"1";"AutonomousCondition";2,44665;146,799;57,8865833333333;56,9931;0,579084149481435;0,543301970787112;13,9497961241053;-0,0357821786943231
"71";"17";"1";27;"Engagement";"1";"AutonomousCondition";0,403533333333333;24,212;58,6246333333333;58,6246333333333;0,614625694828789;0,614625694828789;13,9489374666979;0
"72";"17";"1";29;"Engagement";"1";"AutonomousCondition";1,8844;113,064;59,4142333333333;60,5665166666667;0,614625694828789;0,657554683928099;13,9481025014201;0,04292898909931
"73";"17";"1";31;"Engagement";"1";"AutonomousCondition";1,80776666666667;108,466;61,5434;62,6238166666667;0,657554683928099;0,732126958153861;13,9460903486424;0,074572274225762
"74";"17";"1";33;"Engagement";"1";"AutonomousCondition";0,43755;26,253;63,5297;63,5297;0,732126958153861;0,732126958153861;13,9455547930868;0
"75";"17";"1";35;"Engagement";"1";"AutonomousCondition";9,0665;543,99;63,5696333333333;72,60395;0,732126958153861;0;13,9390125592905;-0,732126958153861
"76";"18";"8";5;"Engagement";"1";"NonAutonomousCondition";77,78715;4667,229;4,50198333333333;28,8649;0,0198619583342128;0,2450134031281;13,9730534055;0,225151444793887
"77";"19";"7";3;"Engagement";"1";"NonAutonomousCondition";0,33195;19,917;1,08551666666667;1,35331666666667;0,0374192750981059;0;13,9908478817755;-0,0374192750981059
"78";"19";"7";5;"Engagement";"1";"NonAutonomousCondition";34,0616333333333;2043,698;31,9606666666667;26,2553666666667;0,849334116120261;0,687050026264561;13,973376712794;-0,1622840898557
"79";"20";"4";1;"Engagement";"2";"AutonomousCondition";0,3863;23,178;0,00881666666666667;0,37125;0,202612373709702;0,202612373709702;13,9821202874444;0
"80";"20";"4";2;"Engagement";"3";"AutonomousCondition";25,9033666666667;1554,202;25,9059333333333;18,16145;0,990203598588617;0,795612439457363;8,23710828512963;-0,194591159131254
"81";"20";"4";3;"Engagement";"1";"AutonomousCondition";6,62246666666667;397,348;3,12171666666667;0,594416666666667;0,0368844375287646;0,917289443117316;13,9940099286481;0,880405005588551
"82";"20";"4";3;"Engagement";"2";"AutonomousCondition";8,54186666666667;512,512;1,40228333333333;8,93028333333333;0,202612373709702;0,421464419557737;13,9762153916111;0,218852045848035
"83";"21";"6";2;"Engagement";"2";"AutonomousCondition";19,8458666666667;1190,752;10,6648833333333;0,04005;0,358282556327051;0;13,7406914077465;-0,358282556327051
"84";"21";"6";4;"Engagement";"3";"AutonomousCondition";10,1053333333333;606,32;1,18243333333333;10,3411833333333;0,64426810259317;0,976023806149922;13,2283364540428;0,331755703556752
"85";"22";"6";3;"Engagement";"1";"NonAutonomousCondition";6,70355;402,213;1,46303333333333;1,64933333333333;0,0387700155873601;0,238855037551367;13,9881901725382;0,200085021964007
"86";"22";"6";4;"Engagement";"2";"NonAutonomousCondition";2,70148333333333;162,089;0,159;0,152716666666667;0,220745359217798;0,220745359217798;9,99794047346412;0
"87";"22";"6";4;"Engagement";"3";"NonAutonomousCondition";6,87101666666667;412,261;0,0623;1,90161666666667;0,41969675499504;0,41969675499504;6,89370327439005;0
"88";"22";"6";5;"Engagement";"1";"NonAutonomousCondition";7,83555;470,133;11,0047;11,0111833333333;0,0822162391951254;0,0822162391951254;13,9816932975382;0
"89";"22";"6";6;"Engagement";"2";"NonAutonomousCondition";9,49241666666667;569,545;7,59168333333333;9,4715;0,264758395918946;0,302168060082188;9,99147148040857;0,037409664163242
"90";"22";"6";7;"Engagement";"1";"NonAutonomousCondition";2,44325;146,595;17,2938666666667;18,5546333333333;0,172707949553635;0,198554626611875;13,9772808322604;0,02584667705824
"91";"22";"6";8;"Engagement";"3";"NonAutonomousCondition";30,1738833333333;1810,433;37,8649333333333;32,2991;0,798894714467904;0,700694346039394;6,87395782300116;-0,0982003684285101
"92";"22";"6";10;"Engagement";"2";"NonAutonomousCondition";5,36055;321,633;18,4491833333333;19,86835;0,38092673940768;0,41969675499504;9,98522852901968;0,03877001558736
"93";"22";"6";10;"Engagement";"3";"NonAutonomousCondition";3,05901666666667;183,541;45,98795;48,10175;0,933881252656936;0,992801473714043;6,86188291559375;0,058920221057107
"94";"23";"1";5;"Engagement";"1";"AutonomousCondition";11,8161333333333;708,968;1,39298333333333;1,4171;0,0495945328103569;0;13,9951909185058;-0,0495945328103569
"95";"23";"1";7;"Engagement";"1";"AutonomousCondition";5,05871666666667;303,523;15,3416333333333;19,5809;0,670187934643983;0,957816974276295;13,9830271106354;0,287629039632312
"96";"24";"8";7;"Engagement";"1";"NonAutonomousCondition";64,2525166666667;3855,151;57,6319666666667;34,6440833333333;0,509234438651666;0,153365557126876;13,9676710391852;-0,35586888152479
"97";"28";"2";5;"Engagement";"1";"NonAutonomousCondition";106,501766666667;6390,106;23,7538166666667;104,441316666667;0,157335548994997;0,75452118726466;13,9161223459421;0,597185638269663
"98";"28";"2";7;"Engagement";"1";"NonAutonomousCondition";16,2552;975,312;114,879883333333;125,7454;0,851202998214507;0,991761981367228;13,9018394177014;0,140558983152721
